"Account","Account"
"Account data","Account data"
"Account name","Account name"
"All is up and running","All is up and running"
"API Key","API Key"
"ChannelEngine","ChannelEngine"
"Choose what you would like to synchronize:","Choose what you would like to synchronize:"
"Choose what you would like to synchronize:","Choose what you would like to synchronize:"
"Close","Close"
"Configuration","Configuration"
"Configure","Configure"
"Connect and continue","Connect and continue"
"Connect the store with your ChannelEngine account","Connect the store with your ChannelEngine account"
"Currency mismatch detected. Please make sure that store currency matches ChannelEngine.","Currency mismatch detected. Please make sure that store currency matches ChannelEngine."
"Dashboard","Dashboard"
"Details","Details"
"Disable integration","Disable integration"
"Disconnect","Disconnect"
"API key and Account name fields are required.","API key and Account name fields are required."
"Displayed","Displayed"
"Empty credentials.","Empty credentials."
"Enable and start sync","Enable and start sync"
"Integration status","Integration status"
"Enable the integration","Enable the integration"
"Enable the integration and start the initial synchronization","Enable the integration and start the initial synchronization"
"Integration between Magento 2 and ChannelEngine is disabled. Synchronization is not performed in the background.","Integration between Magento 2 and ChannelEngine is disabled. Synchronization is not performed in the background."
"Errors","Errors"
"Explain here the current status","Explain here the current status"
"Failed to start initial sync because %s","Failed to start initial sync because %s"
"Full synchronization in progress","Full synchronization in progress"
"In progress","In progress"
"Go to the next page","Go to the next page"
"Go to the previous page","Go to the previous page"
"In Progress","In Progress"
"Initial sync","Initial sync"
"Invalid credentials.","Invalid credentials."
"Default stock quantity is required field.","Default stock quantity is required field."
"It will only take 5 minutes of your time to configure the integration.","It will only take 5 minutes of your time to configure the integration."
"Manually trigger synchronization","Manually trigger synchronization"
"Map shop order statuses to the ChannelEngine order statuses.","Map shop order statuses to the ChannelEngine order statuses."
"Next","Next"
"of","of"
"Order ID:","Order ID:"
"Order status mapping","Order status mapping"
"Order sync","Order sync"
"Order synchronization:","Order synchronization:"
"orders downloaded","orders downloaded"
"Page size:","Page size:"
"Previous","Previous"
"Product sync","Product sync"
"Product synchronization","Product synchronization"
"Product synchronization settings","Product synchronization settings"
"Product synchronization:","Product synchronization:"
"products uploaded","products uploaded"
"psc","psc"
"Save changes","Save changes"
"Save and continue","Save and continue"
"Select the status of incoming orders","Select the status of incoming orders"
"Set default stock quantity","Set default stock quantity"
"Shipment sync","Shipment sync"
"Start Time","Start Time"
"Status","Status"
"Status of the orders fulfilled by a marketplace","Status of the orders fulfilled by a marketplace"
"Status that defines a shipped order","Status that defines a shipped order"
"Stock synchronization","Stock synchronization"
"Start sync now","Start sync now"
"Synchronize orders","Synchronize orders"
"Synchronize products","Synchronize products"
"Task Type","Task Type"
"The account name is a subdomain of your ChannelEngine instance (subdomain.channelengine.net). For example, the account name for ChannelEngine instance myshop.channelengine.net is myshop.","The account name is a subdomain of your ChannelEngine instance (subdomain.channelengine.net). For example, the account name for ChannelEngine instance myshop.channelengine.net is myshop."
"You can generate merchant API key inside ChannelEngine under Settings > Merchant API keys.","You can generate merchant API key inside ChannelEngine under Settings > Merchant API keys."
"By enabling integration, you will be asked whether you want to perform full synchronization (products and orders) again since synchronization was disabled for some time.","By enabling integration, you will be asked whether you want to perform full synchronization (products and orders) again since synchronization was disabled for some time."
"This is the help description","This is the help description"
"The integration will synchronize all published shop products to ChannelEngine in the background.","The integration will synchronize all published shop products to ChannelEngine in the background."
"Time Completed","Time Completed"
"to","to"
"Transaction log","Transaction log"
"Transactions history log","Transactions history log"
"View details","View details"
"Welcome to ChannelEngine","Welcome to ChannelEngine"
"You are just one step away","You are just one step away"
"ProductSync","Product Sync"
"OrderSync","Order Sync"
"in_progress","In progress"
"completed","Completed"
"queued","Pending"
"created","Pending"
"failed","Has errors"
"Disconnect account","Disconnect account"
"Disable","Disable"
"You are about to disconnect your ChannelEngine account.","You are about to disconnect your ChannelEngine account."
"If you disable integration, synchronization between Magento 2 and ChannelEngine will be disabled.","If you disable integration, synchronization between Magento 2 and ChannelEngine will be disabled."
"Identifier","Identifier"
"Message","Message"
"No results","No results"
"Notifications","Notifications"
"Load more","Load more"
"Show details","Show details"
"info","Info"
"warning","Warning"
"error","Error"
"success","Success"
"none","None"
"ProductsUpsertTask","Product Sync"
"ProductsDeleteTask","Product Delete"
"partially_completed","Partially completed"
"Cancellation request successfully sent to ChannelEngine.","Cancellation request successfully sent to ChannelEngine."
"Order cancellation failed. Reason: ","Order cancellation failed. Reason: "
"Shipment create failed. Reason: ","Shipment create failed. Reason: "
"Shipment update failed. Reason: ","Shipment update failed. Reason: "
"Shipment request successfully sent to ChannelEngine.","Shipment request successfully sent to ChannelEngine."
"PRODUCT_DEFECT","CE Defective product"
"PRODUCT_UNSATISFACTORY","CE Unsatisfactory product"
"WRONG_PRODUCT","CE Wrong product"
"TOO_MANY_PRODUCTS","CE Too many products"
"REFUSED","CE Refused"
"REFUSED_DAMAGED","CE Refused (damaged)"
"WRONG_ADDRESS","CE Wrong address"
"NOT_COLLECTED","CE Not collected"
"WRONG_SIZE","CE Wrong size"
"OTHER","CE Other"
"Please select a storeview from the list of available storeviews in your Magento installation.","Please select a storeview from the list of available storeviews in your Magento installation."
